메뉴1,메뉴2,업소아이디,name,분류코드,category,업소 주소,업소 전화번호,region,latitude,longitude,tag,cluster,cluster2
바지락칼국수: 8000원,손칼국수: 6000원,10036,가네 보리밥.손칼국수,1,한식,서울특별시  구로구 구로동로 22길 23,,구로구,37.48956094,126.885796,"[[혼밥하기 좋아요], [양이 많아요], [가성비가 좋아요], [특별한 메뉴가 있어요]]",7,0
self포장: 6600원,매장식사: 8800원,8994,가득드림,1,한식,서울특별시 강남구 영동대로 513 지하1층 M113호,02-551-8288,강남구,37.51182391,127.059159,"[[특별한 메뉴가 있어요], [양이 많아요], [매장이 청결해요], [혼밥하기 좋아요]]",10,1
더블샷아메리카노: 1300원,에스프레소: 1300원,9435,가름커피,4,기타외식업,서울특별시 관악구 신림로 23길 16,,관악구,37.47048117,126.9344768,"[[커피가 맛있어요], [가성비가 좋아요], [음료가 맛있어요], [친절해요], [디저트가 맛있어요]]",26,5
오늘의정식: 8000원,,10311,가마골,1,한식,서울특별시  용산구 이촌로 75길 16-5,02-794-6489,용산구,37.52072432,126.9746751,"[[혼밥하기 좋아요], [가성비가 좋아요], [친절해요], [양이 많아요]]",14,13
꽈배기4개: 1000원,팥도너츠2개: 1000원,10188,가마솥 꽈배기,4,기타외식업,서울특별시  서대문구 통일로 189-1 1층,02-312-4999,서대문구,37.57034953,126.9618663,"[[혼밥하기 좋아요], [매장이 청결해요], [양이 많아요], [특별한 메뉴가 있어요]]",4,17
설렁탕: 7000원,도가니탕: 12000원,8279,가마솥설렁탕,1,한식,서울특별시 구로구 고척로 40길 33-4,02-2615-5292,구로구,37.50159831,126.8508925,"[[가성비가 좋아요], [친절해요], [양이 많아요], [재료가 신선해요]]",8,16
육회: 17000원,,10257,가성비,1,한식,서울특별시  동작구 신대방2길 2-9,02-844-9793,동작구,37.48782736,126.9130612,"[[가성비가 좋아요], [친절해요], [재료가 신선해요], [양이 많아요]]",7,0
부추국수: 8000원,,10317,가이오국수,1,한식,"서울특별시 서대문구 통일로 37길 15, 1층",02-6338-0925,서대문구,37.58754145,126.944304,"[[매장이 청결해요], [가성비가 좋아요], [재료가 신선해요], [혼밥하기 좋아요]]",4,17
된장찌개: 7000원,비빔밥: 7000원,9279,가정식당,1,한식,서울특별시 강남구 학동로 77길 20,02-514-8009,강남구,37.51999206,127.0488903,"[[가성비가 좋아요], [양이 많아요], [친절해요], [재료가 신선해요]]",2,18
파스타: 8000원,돈까스: 9000원,879,감베로니,3,경양식/일식,서울특별시 용산구 한강대로 81길 5,02-3273-1791,용산구,37.54297934,126.9719461,"[[혼밥하기 좋아요], [특별한 메뉴가 있어요], [매장이 청결해요], [가성비가 좋아요]]",14,13
감자보리밥: 8000원,수구레국밥: 9000원,10394,감자보리밥,1,한식,서울특별시 강남구 선릉로 519 지하1층,02-554-3466,강남구,37.50587243,127.0480077,"[[특별한 메뉴가 있어요], [가성비가 좋아요], [재료가 신선해요], [매장이 청결해요]]",10,1
뼈해장국: 8000원,,9664,감쪽같이,1,한식,"서울특별시  관악구 조원로 16길 33, 101호",02-859-1616,관악구,37.48270145,126.9113792,"[[재료가 신선해요], [양이 많아요], [친절해요], [가성비가 좋아요]]",7,0
생삼겹살(200g): 15000원,옛맛서울불고기(250g): 17000원,9655,강남불고기,1,한식,서울특별시 강남구 테헤란로 25길 20,02-552-6464,강남구,37.501631,127.0356518,"[[가성비가 좋아요], [친절해요], [재료가 신선해요], [혼밥하기 좋아요]]",2,18
손수제비: 7000원,'콩나물보리비빔밥 +미니수제비': 9000원,9991,강남손제비,1,한식,서울특별시  강남구 테헤란로 25길 20,02-2192-3599,강남구,37.501631,127.0356518,"[[가성비가 좋아요], [양이 많아요], [재료가 신선해요], [친절해요]]",2,18
짬뽕: 5000원,우동: 5000원,10378,강남식당짜장전문,2,중식,서울특별시  양천구 곰달래로 13길 4,02-2604-2346,양천구,37.53035446,126.8375136,"[[가성비가 좋아요], [매장이 청결해요], [양이 많아요], [친절해요]]",22,25
손수제비: 5000원,,9222,강남손제비,1,한식,서울특별시 강남구 테헤란로 25길 20 역삼현대벤처빌딩2층 207호,02-2192-3599,강남구,37.501631,127.0356518,"[[가성비가 좋아요], [혼밥하기 좋아요], [재료가 신선해요], [매장이 청결해요]]",2,18
백반(점심메뉴): 6000원,국내산 삼겹살(180g): 11000원,10068,강동집,1,한식,"서울특별시 강동구 천호대로 188길 15, 1층",02-489-3992,강동구,37.53342071,127.143457,"[[가성비가 좋아요], [양이 많아요], [매장이 청결해요], [친절해요]]",5,12
김치찌개: 8000원,청국장: 8000원,8309,강원도청국장,1,한식,서울특별시 송파구 오금로 19길 14,02-423-1714,송파구,37.51087848,127.113994,"[[가성비가 좋아요], [재료가 신선해요], [양이 많아요], [혼밥하기 좋아요]]",21,14
라면: 3500원,칼국수: 5500원,8281,개봉분식,4,기타외식업,서울특별시 구로구 고척로 21나길 65,02-2625-9465,구로구,37.50182903,126.8422675,"[[가성비가 좋아요], [친절해요], [양이 많아요], [재료가 신선해요]]",8,16
갈치조림: 8000원,된장찌개: 6000원,9733,거목식당,1,한식,서울특별시 중구 을지로 36길 18,02-2263-0010,중구,37.56597675,127.0014776,"[[가성비가 좋아요], [양이 많아요], [친절해요], [재료가 신선해요]]",9,2
청국장: 7000원,"동태찌개,제육볶음: 7000원",9736,거목식당,1,한식,서울특별시 중구 을지로 36길 18,02-2263-0010,중구,37.56597675,127.0014776,"[[가성비가 좋아요], [양이 많아요], [친절해요], [재료가 신선해요]]",9,2
돈가스: 5500원,,8068,겨울나그네레스토랑,3,경양식/일식,서울특별시  광진구 능동로 147-1,02-498-3650,광진구,37.54403539,127.072222,"[[특별한 메뉴가 있어요], [친절해요], [매장이 청결해요], [양이 많아요]]",20,6
선지해장국: 8000원,돌솥비빔밥: 8000원,9677,경동식당,1,한식,"서울특별시  동대문구 고산자로 36길 3, 지하1층",02-965-0621,동대문구,37.57903777,127.0391429,"[[특별한 메뉴가 있어요], [재료가 신선해요], [친절해요], [매장이 청결해요]]",12,7
부대찌개: 10000원,짜글이: 10000원,10302,경리단578,1,한식,서울특별시  용산구 녹사평대로 226,02-798-6577,용산구,37.53781679,126.9869722,"[[친절해요], [가성비가 좋아요], [단체모임 하기 좋아요], [재료가 신선해요]]",27,9
등심(150g): 15000원,갈비살(150g): 16000원,9835,경성고기꾼 성신여대점,1,한식,서울특별시  성북구 동소문로 20길 28-10,,성북구,37.59138468,127.0161915,"[[고기 질이 좋아요], [가성비가 좋아요], [친절해요], [양이 많아요]]",3,29
아메리카노: 3000원,카페라떼: 3500원,9266,경성커피 도화점,4,기타외식업,서울특별시 마포구 삼개로 7-1,02-716-7007,마포구,37.53966487,126.9477007,"[[매장이 청결해요], [가성비가 좋아요], [양이 많아요], [재료가 신선해요]]",14,13
오겹살(160g): 13000원,김치찌개: 8000원,9540,계단집,1,한식,"서울특별시 동작구 현충로 94, 2층",02-821-9867,동작구,37.50802854,126.96419,"[[친절해요], [매장이 청결해요], [양이 많아요], [혼밥하기 좋아요]]",23,20
수제비: 7000원,칼국수: 7000원,10340,고가네칼국수,1,한식,서울특별시  관악구 남부순환로 248길 17,,관악구,37.47520908,126.9657257,"[[양이 많아요], [가성비가 좋아요], [혼밥하기 좋아요], [친절해요]]",6,19
김치찌개: 7000원,된장찌개: 7000원,9108,고기굽는마을,1,한식,서울특별시 금천구 벚꽃로 38길 32-29,02-858-0390,금천구,37.48237774,126.8849538,"[[친절해요], [가성비가 좋아요], [혼밥하기 좋아요], [고기 질이 좋아요]]",7,0
안창살(180g): 15000원,생오겹살 (180g) : 15000원,9395,고기마을,1,한식,서울특별시 강남구 남부순환로 2917 청실상가 105,02-501-5254,강남구,37.4931667,127.0591649,"[[매장이 청결해요], [양이 많아요], [혼밥하기 좋아요], [재료가 신선해요]]",10,1
제육볶음: 8000원,된장찌개: 6000원,8700,고기마을호수,1,한식,서울특별시 금천구 벚꽃로 73,02-895-0134,금천구,37.46291004,126.8904233,"[[친절해요], [혼밥하기 좋아요], [고기 질이 좋아요], [가성비가 좋아요]]",17,26
소고기(등심): 15900원,삼겹살: 13900원,10089,고기한판,1,한식,서울특별시 관악구 신림로 262,02-871-2353,관악구,37.47851264,126.9328015,"[[친절해요], [고기 질이 좋아요], [양이 많아요], [가성비가 좋아요]]",26,5
기계짜장: 5000원,,10399,고덕옛날손짜장,2,중식,"서울특별시  강동구 동남로 85길 36, 1층",02-428-2006,강동구,37.56110478,127.1548012,"[[매장이 청결해요], [가성비가 좋아요], [양이 많아요], [특별한 메뉴가 있어요]]",5,12
묵은지고등어조림: 9000원,돌솥비빔밥: 9000원,8484,고등어식당,1,한식,서울특별시 강남구 강남대로 84길 33,02-2050-0095,강남구,37.49754613,127.0310934,"[[가성비가 좋아요], [혼밥하기 좋아요], [재료가 신선해요], [친절해요]]",10,1
백반: 8000원,,10004,고바우생삼겹,1,한식,"서울특별시  성동구 동일로 221, 1층",02-498-8442,성동구,37.55166948,127.0690168,"[[친절해요], [양이 많아요], [혼밥하기 좋아요], [가성비가 좋아요]]",20,6
목살(180g): 12000원,가브리살(150g): 13000원,9640,고불초삼겹,1,한식,서울특별시 강남구 역삼동 도곡로 7길 25 2층,02-563-6417,강남구,37.49222937,127.0340829,"[[친절해요], [가성비가 좋아요], [매장이 청결해요], [혼밥하기 좋아요]]",10,1
냉면: 5000원,칼국수: 4000원,8821,고시칼국수,1,한식,서울특별시 관악구 신림로 18가길 42,,관악구,37.47243683,126.934353,"[[가성비가 좋아요], [양이 많아요], [친절해요], [혼밥하기 좋아요]]",26,5
또띠아(마요햄): 7000원,샐러드: 6000원,9694,브런치 카페 고은별 샌드위치,4,기타외식업,서울특별시  광진구 자양로 177,02-453-4933,광진구,37.54345774,127.0843365,"[[특별한 메뉴가 있어요], [친절해요], [재료가 신선해요], [매장이 청결해요]]",20,6
냉면: 7000원,소머리국밥: 10000원,10196,고추장불고기(행복한밥상),1,한식,서울특별시 구로구 신도림로 11다길 10,,구로구,37.50893689,126.8780504,"[[양이 많아요], [매장이 청결해요], [재료가 신선해요], [가성비가 좋아요]]",8,16
백반: 6500원,,9542,고향갈비,1,한식,서울특별시 동작구 노량진로 18길 13,02-813-3033,동작구,37.51228463,126.9507308,"[[양이 많아요], [특별한 메뉴가 있어요], [가성비가 좋아요], [친절해요]]",23,20
비빔국수: 7000원,칼국수: 7000원,10248,고향국시,1,한식,서울특별시 강동구 양재대로 111길 34,02-488-7666,강동구,37.5375428,127.1377718,"[[혼밥하기 좋아요], [친절해요], [가성비가 좋아요], [양이 많아요]]",5,12
냉     면: 4000원,깁     밥: 2000원,8794,고향김밥,1,한식,서울특별시 중랑구 겸재로 226-3,02-492-0013,중랑구,37.58938645,127.0929721,"[[친절해요], [가성비가 좋아요], [재료가 신선해요], [양이 많아요]]",16,11
보리밥+된장찌개: 7000원,냉면: 8000원,9510,고향냉면,1,한식,서울특별시  성동구 독서당로 301-93,02-2234-8043,성동구,37.54882001,127.0223928,"[[양이 많아요], [친절해요], [재료가 신선해요], [가성비가 좋아요]]",9,2
삼겹살: 14000원,머리고기: 8000원,10203,고향반찬(고향식당),1,한식,서울특별시 구로구 우마3길 18,,구로구,37.48152739,126.8892266,"[[가성비가 좋아요], [매장이 청결해요], [특별한 메뉴가 있어요], [양이 많아요]]",7,0
칼국수: 4000원,콩나물비빔밥: 4000원,8916,고향집,1,한식,서울특별시 마포구 포은로 8길 28,02-322-8762,마포구,37.55653255,126.9063062,"[[가성비가 좋아요], [양이 많아요], [혼밥하기 좋아요], [친절해요]]",28,22
한식부페: 7000원,,9132,고향한식부페,1,한식,서울특별시 강남구 논현로 72길 20 지하1층,02-3452-8050,강남구,37.49580267,127.0411646,"[[혼밥하기 좋아요], [가성비가 좋아요], [특별한 메뉴가 있어요], [매장이 청결해요]]",10,1
뚝배기불고기: 7000원,김치찌개: 6000원,9955,골목식당,1,한식,서울특별시 동작구 사당로 16가길 24,02-522-6320,동작구,37.48321299,126.972161,"[[가성비가 좋아요], [재료가 신선해요], [양이 많아요], [특별한 메뉴가 있어요]]",29,27
돼지곰탕: 8500원,홍곰탕: 9000원,10392,곰곰탕,1,한식,서울특별시  광진구 용마산로 128,,광진구,37.5649862,127.0869205,"[[친절해요], [재료가 신선해요], [매장이 청결해요], [혼밥하기 좋아요]]",1,21
치킨: 12000원,,9037,곰닭,1,한식,서울특별시 서대문구 홍은중앙로 116-1,02-6406-9291,서대문구,37.60088768,126.9491539,"[[특별한 메뉴가 있어요], [친절해요], [매장이 청결해요], [가성비가 좋아요]]",4,17
칼국수: 5000원,,10368,곰배령칼국수,1,한식,"서울특별시  중랑구 용마산로 117길 54, 1층",,중랑구,37.6000084,127.0974656,"[[재료가 신선해요], [양이 많아요], [가성비가 좋아요], [혼밥하기 좋아요]]",16,11
똥집튀김: 8000원,통닭: 9000원,10187,공룡치킨,1,한식,서울특별시  서대문구 홍은중앙로 97 1층,02-364-3100,서대문구,37.59950305,126.9483553,"[[재료가 신선해요], [친절해요], [특별한 메뉴가 있어요], [매장이 청결해요]]",4,17
멸치국수: 5000원,,9896,공릉동멸치국수,1,한식,서울특별시  노원구 동일로 173가길 43,,노원구,37.62018588,127.0729872,"[[가성비가 좋아요], [양이 많아요], [혼밥하기 좋아요], [친절해요]]",25,28
칼국수: 8500원,,10171,공주칼국수,1,한식,서울특별시  영등포구 도림천로 11길 1,02-847-9242,영등포구,37.49097375,126.896388,"[[양이 많아요], [재료가 신선해요], [친절해요], [가성비가 좋아요]]",7,0
된장찌개: 6000원,삼겹살: 10000원,8052,광나루찌개,1,한식,서울특별시 종로구 대학로 5가길 1,02-744-9260,종로구,37.57835417,127.001738,"[[가성비가 좋아요], [혼밥하기 좋아요], [양이 많아요], [재료가 신선해요]]",9,2
회덮밥(점심): 8000원,광어(중): 40000원,9956,광명수산,3,경양식/일식,서울특별시 동작구 동작대로 29가길 5,02-536-7801,동작구,37.48827231,126.981173,"[[재료가 신선해요], [가성비가 좋아요], [친절해요], [양이 많아요]]",29,27
불고기: 6000원,삼겹살(150g): 10500원,8806,광양불고기,1,한식,서울특별시 중랑구 망우로 71길 31,02-492-1934,중랑구,37.60177267,127.102003,"[[매장이 청결해요], [양이 많아요], [혼밥하기 좋아요], [재료가 신선해요]]",16,11
비빔밥: 7000원,,9170,광희식당,1,한식,서울특별시 중구 장충단로 212-2,02-2265-1555,중구,37.56363666,127.0072338,"[[매장이 청결해요], [재료가 신선해요], [가성비가 좋아요], [특별한 메뉴가 있어요]]",9,2
카페라떼: 2500원,아메리카노: 2500원,9270,구대회커피,4,기타외식업,서울특별시 마포구 창전로 2길 9,02-716-8739,마포구,37.54857535,126.9334689,"[[특별한 메뉴가 있어요], [양이 많아요], [매장이 청결해요], [재료가 신선해요]]",28,22
청국장(비빔밥): 8000원,어묵매운탕: 8000원,10033,구로숯불돼지불백,1,한식,서울특별시  구로구 가마산로 27길 60,02-868-1402,구로구,37.4994338,126.8905442,"[[가성비가 좋아요], [친절해요], [혼밥하기 좋아요], [재료가 신선해요]]",7,0
토마토스파게티: 15000원,,10144,구스토스퀘어,3,경양식/일식,"서울특별시  영등포구 은행로 58, 지하1층",02-716-8797,영등포구,37.52999551,126.924831,"[[양이 많아요], [특별한 메뉴가 있어요], [가성비가 좋아요], [친절해요]]",0,15
치즈토마토 파스타: 8500원,,10280,구파발파스타,3,경양식/일식,서울특별시  은평구 진관4로 17 820동 상가,02-356-9884,은평구,37.64364593,126.9229005,"[[가성비가 좋아요], [매장이 청결해요], [양이 많아요], [재료가 신선해요]]",24,24
칼국수: 7000원,,10254,국수가,1,한식,서울특별시  동작구 사당로 16가길 18,,동작구,37.48314576,126.9724802,"[[친절해요], [양이 많아요], [재료가 신선해요], [가성비가 좋아요]]",29,27
비빔국수: 7000원,잔치국수: 6000원,9762,국수가 땡긴다,1,한식,"서울특별시  관악구 은천로 117, 1층",,관악구,37.48690391,126.9483837,"[[재료가 신선해요], [매장이 청결해요], [특별한 메뉴가 있어요], [가성비가 좋아요]]",6,19
옛날불고기: 9000원,물냉면: 6000원,9302,국수뜨락,1,한식,서울특별시  구로구 구로중앙로 19가길 7 하나세인트빌 101호,02-862-9868,구로구,37.49432917,126.8889279,"[[가성비가 좋아요], [양이 많아요], [특별한 메뉴가 있어요], [재료가 신선해요]]",7,0
칼국수: 7000원,수제비: 7000원,10028,국수박사,1,한식,"서울특별시  구로구 디지털로 31길 120, 한신플러스 상가1동 106호",02-863-5922,구로구,37.48847002,126.890773,"[[매장이 청결해요], [특별한 메뉴가 있어요], [혼밥하기 좋아요], [친절해요]]",7,0
비빔국수: 7000원,멸치국수: 6000원,9803,국수집,1,한식,"서울특별시  동대문구 한천로 14길 63, 1층",,동대문구,37.56670573,127.0662513,"[[양이 많아요], [혼밥하기 좋아요], [가성비가 좋아요], [친절해요]]",1,21
냉면: 7000원,잔치국수: 5000원,8678,국수회관,1,한식,서울특별시 관악구 신림로 277,,관악구,37.4792616,126.9310023,"[[가성비가 좋아요], [양이 많아요], [친절해요], [혼밥하기 좋아요]]",26,5
김치찌개: 8000원,된장찌개 : 8000원,8173,국일반점,1,한식,서울특별시 송파구 마천로 345-1,02-406-0451,송파구,37.49292189,127.1528549,"[[매장이 청결해요], [양이 많아요], [가성비가 좋아요], [혼밥하기 좋아요]]",21,14
아메리카노: 2500원,국산차: 3500원,9490,굿띵커피,4,기타외식업,서울특별시 관악구 조원로 4길 37,,관악구,37.48201843,126.9053873,"[[양이 많아요], [친절해요], [재료가 신선해요], [혼밥하기 좋아요]]",7,0
순대국: 8000원,,9320,궁중순대,1,한식,서울특별시 동작구 보라매로 5길 15,,동작구,37.49217586,126.9242713,"[[혼밥하기 좋아요], [친절해요], [가성비가 좋아요], [양이 많아요]]",19,4
아메리카노: 2000원,,10333,그레이덕,4,기타외식업,"서울특별시  성동구 동일로 41, 1층",,성동구,37.53693286,127.0605776,"[[재료가 신선해요], [특별한 메뉴가 있어요], [양이 많아요], [매장이 청결해요]]",20,6
김치찌개: 8000원,참치찌개: 8000원,9819,그린하우스,1,한식,"서울특별시  동대문구 전농로 219, 1층",02-2247-2247,동대문구,37.58367914,127.0532137,"[[친절해요], [가성비가 좋아요], [양이 많아요], [혼밥하기 좋아요]]",12,7
냉면: 6000원,삼겹살: 15000원,5959,금강숯불생고기,1,한식,서울특별시 광진구 용마산로 7길 9,02-3437-9599,광진구,37.55898562,127.0870897,"[[친절해요], [가성비가 좋아요], [양이 많아요], [고기 질이 좋아요]]",20,6
짜장면: 7000원,짬뽕: 8000원,10141,금룡,2,중식,"서울특별시  영등포구 국회대로 70길 19, 지하1층",02-785-0609,영등포구,37.52922435,126.920839,"[[양이 많아요], [친절해요], [혼밥하기 좋아요], [가성비가 좋아요]]",0,15
된장찌개: 5000원,김치찌개: 5000원,8390,금복식당,1,한식,서울특별시  동대문구 안암로 20길 16,02-923-7844,동대문구,37.58736703,127.0350148,"[[양이 많아요], [친절해요], [혼밥하기 좋아요], [가성비가 좋아요]]",12,7
갈비탕: 12000원,,9832,금산골정육식당 본점,1,한식,서울특별시  영등포구 도신로 29길 12,02-841-7002,영등포구,37.50962325,126.9049977,"[[친절해요], [가성비가 좋아요], [고기 질이 좋아요], [매장이 청결해요]]",0,15
삼겹살(200g): 15000원,,10072,금송아지 생고기구이,1,한식,서울특별시  은평구 응암로 218,02-374-9092,은평구,37.59141009,126.9177195,"[[친절해요], [고기 질이 좋아요], [가성비가 좋아요], [재료가 신선해요]]",11,8
비빔밥: 8000원,뼈해장국: 8000원,10034,금정식당,1,한식,서울특별시  구로구 구로중앙로 28길 53-8,02-866-6875,구로구,37.50043918,126.8883795,"[[양이 많아요], [친절해요], [가성비가 좋아요], [혼밥하기 좋아요]]",7,0
삼겹살: 9900원,돼지갈비: 10900원,10388,금쪽삼겹,1,한식,"서울특별시  광진구 능동로 16길 57, 1층",02-6958-5792,광진구,37.54538451,127.0761378,"[[매장이 청결해요], [친절해요], [가성비가 좋아요], [혼밥하기 좋아요]]",20,6
된장찌개: 7000원,한방토종닭백숙: 51000원,8193,금천골 오리명가,1,한식,서울특별시 금천구 시흥대로 78길 59,02-808-1246,금천구,37.46071404,126.8991736,"[[양이 많아요], [친절해요], [가성비가 좋아요], [혼밥하기 좋아요]]",17,26
냉면: 6000원,삼겹살: 7000원,7899,길손한정식,1,한식,서울특별시 구로구 고척로 40길 33-5,02-2625-0277,구로구,37.5016661,126.851131,"[[가성비가 좋아요], [친절해요], [양이 많아요], [고기 질이 좋아요]]",8,16
칼국수: 6000원,,9489,김가네국수집,1,한식,서울특별시  도봉구 도봉로 153길 51,02-955-1357,도봉구,37.66986537,127.0404814,"[[가성비가 좋아요], [양이 많아요], [친절해요], [혼밥하기 좋아요]]",18,10
칼국수: 8000원,수제비: 8000원,10334,김가네 손 칼국수,1,한식,"서울특별시  서초구 남부순환로 358길 13, 1층 101, 102호",02-573-1102,서초구,37.48434913,127.038282,"[[가성비가 좋아요], [양이 많아요], [친절해요], [혼밥하기 좋아요]]",10,1
부대찌개: 8000원,,10258,김가보쌈,1,한식,서울특별시  동작구 여의대방로 24가길 10,02-824-8464,동작구,37.49866036,126.9210373,"[[가성비가 좋아요], [친절해요], [양이 많아요], [혼밥하기 좋아요]]",19,4
칼국수: 5000원,보쌈(중): 35000원,9509,김경자원조 손칼국수 보쌈,1,한식,서울특별시  성동구 금호산2길 20-1,02-2233-7001,성동구,37.54879273,127.0218372,"[[양이 많아요], [친절해요], [혼밥하기 좋아요], [가성비가 좋아요]]",9,2
김치찌개: 7000원,된장찌개: 7000원,10153,김밥마을,1,한식,서울특별시  영등포구 도신로 94,02-845-0575,영등포구,37.50708498,126.9027325,"[[가성비가 좋아요], [혼밥하기 좋아요], [친절해요], [양이 많아요]]",0,15
된장찌개: 7000원,김치찌개: 7000원,8341,김밥짱,1,한식,서울특별시 구로구 구로동로 125-1,02-861-2644,구로구,37.48982287,126.8840474,"[[양이 많아요], [친절해요], [혼밥하기 좋아요], [가성비가 좋아요]]",7,0
김밥: 2000원,된장찌개: 5500원,4955,김밥천국,1,한식,서울특별시 강서구 가로공원로 76길 61,02-2692-5955,강서구,37.53442541,126.8382672,"[[가성비가 좋아요], [친절해요], [재료가 신선해요], [혼밥하기 좋아요]]",22,25
김밥: 2000원,된장찌개: 5500원,4955,김밥천국,1,한식,서울특별시 강서구 가로공원로 76길 61,02-2692-5955,강서구,37.53442541,126.8382672,"[[가성비가 좋아요], [친절해요], [양이 많아요], [혼밥하기 좋아요]]",22,25
라면: 4000원,김치찌개 : 7000원,8675,김밥천국,1,한식,서울특별시 구로구 구로동로 119-2,02-862-6625,구로구,37.48929795,126.8841435,"[[가성비가 좋아요], [친절해요], [재료가 신선해요], [혼밥하기 좋아요]]",7,0
라면: 4000원,김치찌개 : 7000원,8675,김밥천국,1,한식,서울특별시 구로구 구로동로 119-2,02-862-6625,구로구,37.48929795,126.8841435,"[[가성비가 좋아요], [친절해요], [양이 많아요], [혼밥하기 좋아요]]",7,0
콩국수: 6000원,천국김밥: 2500원,9929,김밥천국,1,한식,서울특별시  금천구 시흥대로 50길 10,02-894-7772,금천구,37.45124082,126.9026403,"[[가성비가 좋아요], [친절해요], [재료가 신선해요], [혼밥하기 좋아요]]",17,26
콩국수: 6000원,천국김밥: 2500원,9929,김밥천국,1,한식,서울특별시  금천구 시흥대로 50길 10,02-894-7772,금천구,37.45124082,126.9026403,"[[가성비가 좋아요], [친절해요], [양이 많아요], [혼밥하기 좋아요]]",17,26
돈가스: 8000원,라면: 4000원,10160,김밥하우스,1,한식,서울특별시  영등포구 신길로 38,02-833-4757,영등포구,37.49599243,126.9085968,"[[친절해요], [혼밥하기 좋아요], [가성비가 좋아요], [재료가 신선해요]]",7,0
돈가스: 6500원,,8970,김자순수제돈까스,1,한식,서울특별시 송파구 석촌호수로 12길 16,,송파구,37.50903184,127.0845493,"[[양이 많아요], [친절해요], [혼밥하기 좋아요], [가성비가 좋아요]]",15,3
능이삼계탕: 15000원,능이반계탕: 9000원,10403,꽃백숙,1,한식,서울특별시  종로구 창신길 18,02-9613-2628,종로구,37.57238433,127.0108173,"[[재료가 신선해요], [특별한 메뉴가 있어요], [인테리어가 멋져요], [친절해요]]",9,2
꽃보다 라면 정식: 7000원,,10067,꽃보다 라면,1,한식,서울특별시  서초구 사임당로 178 지하1층 103호,02-521-6225,서초구,37.49222792,127.0290563,"[[친절해요], [가성비가 좋아요], [고기 질이 좋아요], [양이 많아요]]",10,1
삼겹살: 7900원,왕갈비: 7900원,8861,꾸워,1,한식,서울특별시 은평구 은평로 34,02-374-3004,은평구,37.59804449,126.9117856,"[[친절해요], [가성비가 좋아요], [고기 질이 좋아요], [양이 많아요]]",24,24
생삼겹살: 14000원,비빔밥: 7000원,9603,꿀꿀이생고기맛집,1,한식,서울특별시  구로구 중앙로 32,02-2686-2049,구로구,37.50076828,126.8638569,"[[친절해요], [가성비가 좋아요], [단체모임 하기 좋아요], [양이 많아요]]",8,16
